;,Arsenal,,,Starting Cap,Players Needed,,,Nuggets,,,Starting Cap,Players Needed,,,Twins,,,Starting Cap,Players Needed,,,Phillies,,,Starting Cap,Players Needed,,,Wombats,,,Starting Cap,Players Needed,,,Ducks,,,Starting Cap,Players Needed,,,Renegades,,,Starting Cap,Players Needed,,,Matadors,,,Starting Cap,Players Needed,,,Bison,,,Starting Cap,Players Needed,,,Cattlemen,,,Starting Cap,Players Needed
16,"Pallante, Andre",,1,$1,1,,16,"Quijada, Jose",,1,$4,,,16,"Trivino, Lou",,1,$1,,,F,,,,,,,16,"Hill, Tim",,1,$1,,,16,"Wilson, Steven",,1,$1,,,16,"Finnigan, Kyle",,1,$1,2,,16,"Thomas, Alek",,1,$1,4,,F,,,,,,,F,,,,,
17,"Gray, Jon",,1,$2,2,,17,"Straw, Myles",,1,$2,,,17,"Melancon, Mark",,1,$1,,,F,,,,,,,F,,,,,,,17,"Lowe, Brandon",,1,$1,,,17,"Yepez, Juan",,1,$1,4,,17,"Arroyo, Christian",,1,$1,2,,F,,,,,,,F,,,,,
18,"Bleday, JJ",,1,$1,2,,18,"Jackson, Zack",,1,$1,,,18,"Montas, Frankie",,1,$1,,,F,,,,,,,F,,,,,,,18,"Anderson, Ian",,1,$1,,,18,"Hernandez, Kike",,1,$1,2,,F,"Vargas, Miguel",,,$3,4,,F,,,,,,,F,,,,,
19,"Barlow, Joe",,1,$1,1,,19,"Herrerra, Jose",,1,$1,,J,19,"Polanco, Jorge",,1,$1,,,F,,,,,,,F,,,,,,,F,,,,,,,19,"Cruz, Nelson",,1,$1,1,,F,"Casas, Triston",,,$2,4,,F,,,,,,,F,,,,,
20,"Longoria, Evan",,1,$3,1,,20,"Azocar, Jose",,1,$3,,,20,"Suarez, Jose",,1,$3,,,F,,,,,,,F,,,,,,,F,,,,,,,20,"Estevez, Carlos",,1,$1,2,,F,,,,,,,F,,,,,,,F,,,,,
F,"Senga, Kodai",,,$1,2,,21,"Marte, Ketel",,1,$4,,,21,"Gibson, Kyle",,1,$3,,,F,,,,,,,F,,,,,,,F,,,,,,,21,"Poche, Colin",,1,$1,3,,F,,,,,,,F,,,,,,,F,,,,,
F,"Mead, Curtis",,,$3,2,,22,"Gordon, Nick",,1,$1,,,22,"Martin, Brett",,1,$1,,,F,,,,,,,F,,,,,,,F,,,,,,,22,"Morejon, Adrian",,1,$1,4,,F,,,,,,,F,,,,,,,F,,,,,
F,"Tovar, Ezequiel",,,$2,2,,F,"Carroll, Corbin",,,$1,,,23,"Richards, Trevor",,1,$1,,,F,,,,,,,F,,,,,,,F,,,,,,,23,"Belt, Brandon",,1,$1,3,,F,,,,,,,F,,,,,,,F,,,,,
F,,,,,,,F,"Walker, Jordan",,,$4,,,F,"Bradley, Taj",,,$4,,,F,,,,,,,F,,,,,,,F,,,,,,,24,"Crawford, Brandon",,1,$1,2,,F,,,,,,,F,,,,,,,F,,,,,
F,,,,,,,F,"Yoshida, Masataka",,,$3,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,
F,,,,,,,F,"Perez, Yuri",,,$3,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,
F,,,,,,,F,"Moreno, Gabriel",,,$1,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,
F,,,,,,,F,"Painter, Andrew",,,$1,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
