Name,Team,G,PA,HR,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Ketel Marte,ARI,90,374,14,2,8.30%,16.00%,0.215,0.352,0.318,0.377,0.532,0.385,0.371,139,-0.4,18.2,-1.7,2.9,13613
Jose Abreu,CHW,152,659,30,1,9.30%,21.70%,0.219,0.293,0.261,0.351,0.481,0.354,0.348,126,-4.5,16.7,-10.5,2.9,15676
J.D. Martinez,BOS,148,634,28,0,8.70%,23.70%,0.232,0.34,0.286,0.349,0.518,0.364,0.374,128,-3.1,18.4,-11.4,2.9,6184
Adolis Garcia,TEX,149,622,31,16,5.10%,31.20%,0.212,0.306,0.243,0.286,0.454,0.314,0.302,100,-1.4,-1.7,9.1,2.9,19287
Mitch Haniger,SEA,157,691,39,1,7.80%,24.50%,0.232,0.281,0.253,0.318,0.485,0.34,0.353,120,-1.4,15.9,-11.2,2.8,14274
Omar Narvaez,MIL,123,445,11,0,9.20%,18.90%,0.136,0.308,0.266,0.342,0.402,0.322,0.304,99,-2.5,-2.9,16.3,2.8,13338
Miguel Rojas,MIA,132,539,9,13,6.90%,13.70%,0.127,0.295,0.265,0.322,0.392,0.311,0.291,97,1.5,-0.2,10.3,2.8,7802
Dylan Carlson,STL,149,619,18,2,9.20%,24.60%,0.172,0.332,0.266,0.343,0.437,0.336,0.321,113,0.1,10.6,-3.5,2.8,20126
Jared Walsh,LAA,144,585,29,2,8.20%,26.00%,0.232,0.335,0.277,0.34,0.509,0.357,0.325,127,-1.1,18.4,-10.8,2.8,18607
Tony Kemp,OAK,131,397,8,8,13.10%,12.80%,0.139,0.304,0.279,0.382,0.418,0.351,0.32,127,3.8,17.2,-3.6,2.7,14894
Amed Rosario,CLE,141,588,11,13,5.30%,20.40%,0.127,0.34,0.282,0.321,0.409,0.315,0.298,99,1.2,0.6,6.3,2.7,15518
Robbie Grossman,DET,156,671,23,20,14.60%,23.10%,0.176,0.286,0.239,0.357,0.415,0.337,0.335,114,2,13.5,-9.5,2.7,5254
Luis Urias,MIL,150,570,23,5,11.10%,20.40%,0.196,0.28,0.249,0.345,0.445,0.34,0.332,111,-0.7,7.3,0.5,2.7,16622
Francisco Lindor,NYM,125,524,20,10,11.10%,18.30%,0.181,0.248,0.23,0.322,0.412,0.317,0.344,103,2,4.1,5.2,2.7,12916
Giancarlo Stanton,NYY,139,579,35,0,10.90%,27.10%,0.243,0.324,0.273,0.354,0.516,0.37,0.358,137,-7,19,-12.4,2.6,4949
Joey Wendle,TBR,136,501,11,8,5.60%,22.60%,0.157,0.327,0.265,0.319,0.422,0.317,0.284,106,-0.2,3.3,5.7,2.6,13853
Mark Canha,OAK,141,625,17,12,12.30%,20.50%,0.156,0.274,0.231,0.358,0.387,0.333,0.332,115,2,13.6,-9,2.6,11445
Jacob Stallings,PIT,112,427,8,0,11.50%,19.90%,0.123,0.297,0.246,0.335,0.369,0.312,0.315,95,-1.9,-4.8,16.4,2.6,13723
Ryan McMahon,COL,151,596,23,6,9.90%,24.70%,0.195,0.306,0.254,0.331,0.449,0.334,0.324,95,-1.6,-5.4,11,2.5,15112
Darin Ruf,SFG,117,312,16,2,14.70%,27.90%,0.248,0.344,0.271,0.385,0.519,0.384,0.379,144,-1,16.5,-1.6,2.5,9929
Wander Franco,TBR,70,308,7,2,7.80%,12.00%,0.174,0.311,0.288,0.347,0.463,0.348,0.334,127,3.1,13.1,1.4,2.5,23667
Kevin Kiermaier,TBR,122,390,4,9,8.50%,25.40%,0.129,0.345,0.259,0.328,0.388,0.31,0.283,101,2.2,2.8,8.8,2.5,11038
Jean Segura,PHI,131,567,14,9,6.90%,13.80%,0.146,0.317,0.29,0.348,0.436,0.338,0.318,109,-1.2,5.4,0.5,2.5,5933
Kyle Seager,SEA,159,670,35,3,8.80%,24.00%,0.226,0.226,0.212,0.285,0.438,0.308,0.32,99,-1.9,-3,4.9,2.5,9785
DJ LeMahieu,NYY,150,679,10,4,10.80%,13.80%,0.094,0.301,0.268,0.349,0.362,0.315,0.339,100,-1.7,-1.8,3.1,2.4,9874
George Springer,TOR,78,342,22,4,10.80%,23.10%,0.291,0.286,0.264,0.352,0.555,0.381,0.358,140,-1.2,15.6,-3.1,2.4,12856
Adam Duvall,- - -,146,555,38,5,6.30%,31.40%,0.263,0.26,0.228,0.281,0.491,0.324,0.329,103,-2.4,0,5.4,2.4,10950
Austin Hays,BAL,131,529,22,4,5.30%,20.20%,0.205,0.286,0.256,0.308,0.461,0.328,0.316,106,-0.3,3.8,1.7,2.4,19363
C.J. Cron,COL,142,547,28,1,11.00%,21.40%,0.249,0.316,0.281,0.375,0.53,0.383,0.362,127,-3.2,15.6,-10.3,2.3,12546
Tommy Edman,STL,159,691,11,30,5.50%,13.70%,0.125,0.291,0.262,0.308,0.387,0.301,0.318,91,8,-0.3,0.8,2.3,19470
Rhys Hoskins,PHI,107,443,27,3,10.60%,24.40%,0.283,0.27,0.247,0.334,0.53,0.364,0.377,127,-1.5,13.6,-4.9,2.3,16472
Isiah Kiner-Falefa,TEX,158,677,8,20,4.10%,13.30%,0.087,0.304,0.271,0.312,0.357,0.293,0.291,85,4.2,-8.2,8.1,2.3,16512
Mike Trout,LAA,36,146,8,2,18.50%,28.10%,0.291,0.456,0.333,0.466,0.624,0.451,0.423,190,1.5,17.7,0.1,2.3,10155
Patrick Wisdom,CHC,106,375,28,4,8.50%,40.80%,0.287,0.318,0.231,0.305,0.518,0.346,0.32,115,-0.6,6.6,3.5,2.3,13602
Mike Yastrzemski,SFG,139,532,25,4,9.60%,24.60%,0.233,0.254,0.224,0.311,0.457,0.326,0.316,106,3.9,8,-3.1,2.2,14854
Cesar Hernandez,- - -,149,637,21,1,9.30%,21.20%,0.154,0.266,0.232,0.308,0.386,0.302,0.31,90,0.8,-6.8,7,2.2,10556
Josh Donaldson,MIN,135,543,26,0,13.60%,21.00%,0.228,0.268,0.247,0.352,0.475,0.353,0.387,124,-4.3,12,-8.5,2.2,5038
Santiago Espinal,TOR,92,246,2,6,8.90%,12.20%,0.095,0.353,0.311,0.376,0.405,0.344,0.307,115,2.3,6.8,6.6,2.2,19997
Jonathan Villar,NYM,142,505,18,14,9.10%,26.10%,0.167,0.313,0.249,0.322,0.416,0.32,0.307,105,3.6,6.9,-2.1,2.1,10071
Steven Duggar,SFG,107,297,8,7,9.10%,29.60%,0.179,0.355,0.257,0.33,0.437,0.327,0.308,107,3.7,6.3,5.1,2.1,17719
Andrew Benintendi,KCR,134,538,17,8,6.70%,18.00%,0.166,0.309,0.276,0.324,0.442,0.328,0.332,106,-0.1,3.9,-0.9,2.1,17901
Ramon Laureano,OAK,88,378,14,12,7.10%,25.90%,0.196,0.304,0.246,0.317,0.443,0.327,0.333,111,0.1,5.4,3,2.1,17128
Michael Brantley,HOU,121,508,8,1,6.50%,10.40%,0.126,0.337,0.311,0.362,0.437,0.347,0.362,123,-1.2,13,-9.1,2.1,4106
Mitch Garver,MIN,68,243,13,1,12.80%,29.20%,0.261,0.32,0.256,0.358,0.517,0.372,0.385,137,-0.1,11,1.9,2.1,15161
Willson Contreras,CHC,128,483,21,5,10.80%,28.60%,0.201,0.298,0.237,0.34,0.438,0.337,0.346,109,-3.7,1.8,3.2,2.1,11609
Trent Grisham,SDP,132,527,15,13,10.20%,22.60%,0.171,0.292,0.242,0.327,0.413,0.32,0.31,103,2,4,-0.7,2.1,18564
Frank Schwindel,- - -,64,259,14,2,6.20%,15.80%,0.264,0.348,0.326,0.371,0.591,0.403,0.329,152,-0.9,16.4,-4.4,2.1,15351
Josh Rojas,ARI,139,550,11,9,10.50%,24.90%,0.147,0.345,0.264,0.341,0.411,0.327,0.298,102,4.6,5.9,-3.9,2,19734
Alex Bregman,HOU,91,400,12,1,11.00%,13.30%,0.152,0.286,0.27,0.355,0.422,0.336,0.335,115,-2.2,5.4,1.1,2,17678
Austin Meadows,TBR,142,591,27,4,10.00%,20.60%,0.224,0.249,0.234,0.315,0.458,0.327,0.326,113,-1.7,7.5,-7.6,2,15672
Alex Verdugo,BOS,146,604,13,6,8.40%,15.90%,0.138,0.327,0.289,0.351,0.426,0.334,0.342,107,2,7.5,-8,2,17027
Tyler Stephenson,CIN,132,402,10,0,10.20%,18.70%,0.146,0.333,0.286,0.366,0.431,0.346,0.324,111,-2.1,3.6,2.8,2,17988
Daulton Varsho,ARI,95,315,11,6,9.50%,21.30%,0.19,0.286,0.246,0.318,0.437,0.322,0.324,98,5,4.3,4.9,2,19918
Nelson Cruz,- - -,140,584,32,3,8.70%,21.60%,0.232,0.286,0.265,0.334,0.497,0.346,0.358,122,-1.9,14,-14.3,2,2434
Leury Garcia,CHW,126,474,5,6,8.60%,20.50%,0.108,0.333,0.267,0.335,0.376,0.312,0.291,98,3.4,2.3,1.1,2,5913
Akil Baddoo,DET,124,461,13,18,9.80%,26.50%,0.177,0.335,0.259,0.33,0.436,0.329,0.309,108,3.9,8.6,-5,1.9,22168
Chas McCormick,HOU,108,320,14,4,7.80%,32.50%,0.19,0.341,0.257,0.319,0.447,0.327,0.312,109,-0.4,3.3,4.7,1.9,19599
Michael A. Taylor,KCR,142,528,12,14,6.30%,27.30%,0.112,0.319,0.244,0.297,0.356,0.286,0.299,77,0.3,-14.4,15.1,1.9,11489
Max Kepler,MIN,121,490,19,10,11.00%,19.60%,0.202,0.225,0.211,0.306,0.413,0.309,0.347,95,5,2,-0.1,1.9,12144
Yandy Diaz,TBR,134,541,13,1,12.80%,15.70%,0.131,0.286,0.256,0.353,0.387,0.325,0.332,111,-2.2,5,-5.1,1.8,16578
Hunter Renfroe,BOS,144,572,31,1,7.70%,22.70%,0.242,0.284,0.259,0.315,0.501,0.344,0.353,114,-2.6,7.3,-8.6,1.8,15464
Luis Arraez,MIN,121,479,2,2,9.00%,10.00%,0.082,0.323,0.294,0.357,0.376,0.321,0.336,103,0.7,2.5,-0.6,1.8,18568
Brett Phillips,TBR,119,292,13,14,11.30%,38.70%,0.221,0.302,0.206,0.3,0.427,0.313,0.284,103,3.5,4.5,3.6,1.8,14735
Austin Slater,SFG,129,306,12,15,9.20%,27.50%,0.182,0.303,0.241,0.32,0.423,0.321,0.335,103,2.4,3.4,4,1.8,16153
Lorenzo Cain,MIL,78,286,8,13,9.10%,16.80%,0.144,0.287,0.257,0.329,0.401,0.319,0.317,97,4,2.9,5.1,1.8,9077
Carson Kelly,ARI,98,359,13,0,12.30%,20.60%,0.171,0.27,0.24,0.343,0.411,0.328,0.343,103,-1,0.2,5.2,1.7,13620
Alcides Escobar,WSN,75,349,4,3,4.90%,16.00%,0.116,0.337,0.288,0.34,0.404,0.325,0.308,100,2.4,2.6,3,1.7,6310
Evan Longoria,SFG,81,291,13,1,12.00%,23.40%,0.221,0.305,0.261,0.351,0.482,0.352,0.352,123,-1.8,6.7,0.6,1.7,9368
Gleyber Torres,NYY,127,516,9,14,9.70%,20.20%,0.107,0.314,0.259,0.331,0.366,0.307,0.331,94,0.2,-3.4,2.5,1.7,16997
Kyle Farmer,CIN,147,529,16,2,4.20%,18.30%,0.153,0.296,0.263,0.316,0.416,0.316,0.301,91,-1.5,-7.2,6.2,1.6,14813
Ramon Urias,BAL,85,296,7,1,9.50%,25.70%,0.134,0.369,0.279,0.361,0.412,0.341,0.344,115,0.4,5.7,0.7,1.6,18795
Rafael Ortega,CHC,103,330,11,12,9.10%,21.20%,0.172,0.349,0.291,0.36,0.463,0.355,0.31,120,0.3,8.9,-3.4,1.6,10323
Brendan Rodgers,COL,102,415,15,0,4.60%,20.20%,0.186,0.328,0.284,0.328,0.47,0.341,0.309,100,-0.3,-0.5,3.2,1.6,17907
Edmundo Sosa,STL,113,326,6,4,5.20%,19.30%,0.118,0.326,0.271,0.346,0.389,0.322,0.323,104,-1,0.8,4.8,1.6,17022
Anthony Rizzo,- - -,141,576,22,6,9.00%,15.10%,0.192,0.258,0.248,0.344,0.44,0.339,0.346,112,-1.8,7,-10.1,1.6,3473
Elias Diaz,COL,106,371,18,0,8.10%,16.20%,0.219,0.249,0.246,0.31,0.464,0.33,0.317,92,-4.4,-8,11.7,1.6,11680
Jazz Chisholm Jr.,MIA,124,507,18,23,6.70%,28.60%,0.177,0.319,0.248,0.303,0.425,0.312,0.307,98,3.3,2.2,-3,1.6,20454
LaMonte Wade Jr.,SFG,109,381,18,6,8.70%,23.40%,0.229,0.289,0.253,0.326,0.482,0.343,0.347,117,-0.9,7.4,-4.3,1.6,18126
Yan Gomes,- - -,103,375,14,0,5.10%,20.80%,0.169,0.287,0.252,0.301,0.421,0.308,0.341,93,-0.9,-4.2,7.3,1.6,9627
Paul DeJong,STL,113,402,19,4,8.70%,25.60%,0.194,0.216,0.197,0.284,0.39,0.293,0.312,86,0.5,-6.8,9.1,1.6,18015
Freddy Galvis,- - -,104,394,14,1,6.90%,19.50%,0.166,0.269,0.242,0.302,0.407,0.305,0.28,90,0.9,-4,6.2,1.6,6609
Nathaniel Lowe,TEX,157,642,18,8,12.50%,25.20%,0.151,0.339,0.264,0.357,0.415,0.337,0.324,115,-2.2,9.5,-15.8,1.6,19566
J.D. Davis,NYM,73,211,5,1,11.40%,32.20%,0.151,0.426,0.285,0.384,0.436,0.357,0.338,130,0.4,8.3,0.2,1.6,16219
Lourdes Gurriel Jr.,TOR,141,541,21,1,5.90%,18.90%,0.19,0.305,0.276,0.319,0.466,0.333,0.336,107,-2,3,-5.9,1.5,19238
Josh Harrison,- - -,138,558,8,9,5.60%,13.40%,0.121,0.313,0.279,0.341,0.4,0.325,0.332,103,-0.5,2,-5.2,1.5,8202
Ke'Bryan Hayes,PIT,96,396,6,9,7.80%,22.00%,0.116,0.321,0.257,0.316,0.373,0.301,0.299,88,0.9,-5.2,7.4,1.5,18577
Christian Yelich,MIL,117,475,9,9,14.70%,23.80%,0.125,0.321,0.248,0.362,0.373,0.325,0.338,101,1.8,2.3,-2.8,1.5,11477
Manny Pina,MIL,75,208,13,0,10.60%,18.30%,0.25,0.162,0.189,0.293,0.439,0.315,0.329,95,-0.2,-1.7,9.8,1.5,2829
Tommy Pham,SDP,155,561,15,14,13.90%,22.80%,0.154,0.28,0.229,0.34,0.383,0.318,0.354,102,1.1,2.2,-5.7,1.5,2967
Matt Duffy,CHC,97,322,5,8,7.80%,19.60%,0.093,0.351,0.287,0.357,0.381,0.327,0.325,102,-1.5,-0.4,4.6,1.5,13836
Charlie Blackmon,COL,150,582,13,3,9.30%,15.60%,0.14,0.305,0.27,0.351,0.411,0.333,0.357,94,1.4,-2.8,-1.7,1.5,7859
Jonathan Schoop,DET,156,674,22,2,5.50%,19.70%,0.157,0.317,0.278,0.32,0.435,0.324,0.311,105,-2.1,2,-10.3,1.5,11265
Gary Sanchez,NYY,117,440,23,0,11.80%,27.50%,0.219,0.23,0.204,0.307,0.423,0.314,0.336,99,-3.5,-3.8,3.5,1.5,11442
