Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,playerid
Ryan Yarbrough,TBR,1,4,0,11,9,55.2,7.11,1.94,0.81,0.295,77.30%,41.90%,10.20%,87.6,3.56,3.96,3.8,4.33,1,16502
Jordan Montgomery,NYY,2,3,0,10,10,44,9.61,1.84,1.43,0.32,65.00%,42.90%,16.70%,92.6,5.11,3.82,3.87,3.65,0.9,16511
Charlie Morton,TBR,2,2,0,9,9,38,9.95,2.37,0.95,0.355,70.00%,41.60%,10.50%,93.7,4.74,3.87,3.45,4.01,0.9,4676
Sandy Alcantara,MIA,3,2,0,7,7,42,8.36,3.21,0.86,0.274,63.90%,49.10%,11.80%,97,3,4.07,3.72,4.04,0.9,18684
Nathan Eovaldi,BOS,4,2,0,9,9,48.1,9.68,1.3,1.49,0.336,82.70%,48.90%,20.00%,97.6,3.72,4.16,3.87,3.32,0.9,9132
Griffin Canning,LAA,2,3,0,11,11,56.1,8.95,3.67,1.28,0.307,73.40%,36.30%,11.80%,92.8,3.99,4.27,4.33,4.81,0.9,19867
Randy Dobnak,MIN,6,4,0,10,10,46.2,5.21,2.51,0.58,0.307,73.20%,62.10%,9.40%,93.2,4.05,3.9,3.96,4.45,0.8,23798
Josh Lindblom,MIL,2,4,0,12,10,45.1,10.32,3.18,1.19,0.316,66.50%,26.90%,12.20%,90.3,5.16,4.07,3.88,4.24,0.8,7882
Mike Minor,- - -,1,6,0,12,11,56.2,9.85,3.18,1.75,0.269,62.90%,35.90%,15.70%,90.8,5.56,4.33,4.64,4.5,0.8,10021
Jesus Luzardo,OAK,3,2,0,12,9,59,9,2.59,1.37,0.306,78.00%,45.20%,17.60%,95.8,4.12,4.27,4.19,3.88,0.8,19959
Masahiro Tanaka,NYY,3,3,0,10,10,48,8.25,1.5,1.69,0.291,72.70%,43.30%,16.40%,92.5,3.56,4.01,4.42,4.19,0.8,15764
Steven Brault,PIT,1,3,0,11,10,42.2,8.02,4.64,0.42,0.243,73.30%,49.10%,5.90%,92.5,3.37,4.3,3.92,4.85,0.8,15291
Tyler Anderson,SFG,4,3,0,13,11,59.2,6.18,3.77,0.75,0.286,68.80%,28.50%,6.10%,90.3,4.37,4.83,4.36,5.93,0.8,12880
Deivi Garcia,NYY,3,2,0,6,6,34.1,8.65,1.57,1.57,0.29,65.50%,33.30%,12.20%,92,4.98,4.64,4.15,4.63,0.8,20276
Rich Hill,MIN,2,2,0,8,8,38.2,7.22,3.96,0.7,0.24,78.90%,40.60%,7.70%,87.9,3.03,5.1,3.99,4.93,0.7,4806
JT Brubaker,PIT,1,3,0,11,9,47.1,9.13,3.23,1.14,0.321,68.80%,46.70%,14.30%,93.6,4.94,4.42,4.08,4.14,0.7,17578
Mike Clevinger,- - -,3,2,0,8,8,41.2,8.64,3.02,1.3,0.275,85.90%,34.30%,14.60%,95.2,3.02,4.7,4.15,4.18,0.7,12808
Garrett Richards,SDP,2,2,0,14,10,51.1,8.06,2.98,1.23,0.284,76.50%,40.10%,13.50%,95.2,4.03,4.58,4.28,4.46,0.7,9784
Brent Suter,MIL,2,0,0,16,4,31.2,10.8,1.42,1.14,0.321,75.70%,51.20%,19.00%,85.6,3.13,2.86,3,2.64,0.7,13942
Dane Dunning,CHW,2,0,0,7,7,34,9.26,3.44,1.06,0.239,66.90%,45.10%,13.30%,91.9,3.97,3.68,3.99,4.16,0.7,19409
Vince Velasquez,PHI,1,1,0,9,7,34,12.18,4.5,1.32,0.373,71.40%,39.80%,15.60%,93.9,5.56,4.36,4.16,4.07,0.7,11189
Logan Webb,SFG,3,4,0,13,11,54.1,7.62,3.98,0.66,0.345,62.50%,51.80%,10.80%,93.2,5.47,5.24,4.17,4.52,0.7,17995
Tejay Antone,CIN,0,3,0,13,4,35.1,11.46,4.08,1.02,0.216,83.30%,48.70%,12.50%,95.6,2.8,2.92,3.64,3.92,0.6,16233
Mike Fiers,OAK,6,3,0,11,11,59,5.64,2.44,1.37,0.293,74.60%,35.00%,10.60%,88.1,4.58,4.8,4.94,5.73,0.6,7754
Kwang-hyun Kim,STL,3,0,1,8,7,39,5.54,2.77,0.69,0.217,86.60%,50.00%,9.10%,90.1,1.62,3.85,3.88,4.52,0.6,27458
Alex Cobb,BAL,2,5,0,10,10,52.1,6.54,3.1,1.38,0.275,74.00%,54.50%,22.20%,92.9,4.3,6.37,4.87,4.21,0.6,6562
Jaime Barria,LAA,1,0,0,7,5,32.1,7.52,2.51,0.84,0.261,73.20%,34.00%,7.10%,92.1,3.62,3.04,3.66,4.95,0.6,18356
Nick Margevicius,SEA,2,3,0,10,7,41.1,7.84,3.05,1.31,0.281,71.10%,37.30%,12.20%,90.1,4.57,4.36,4.35,4.75,0.6,20395
Merrill Kelly,ARI,3,2,0,5,5,31.1,8.33,1.44,1.44,0.247,92.00%,45.60%,15.20%,92.2,2.59,3.82,3.99,3.95,0.6,11156
J.A. Happ,NYY,2,2,0,9,9,49.1,7.66,2.74,1.46,0.223,81.30%,44.40%,16.70%,91.7,3.47,3.25,4.57,4.34,0.6,7410
Taijuan Walker,- - -,4,3,0,11,11,53.1,8.44,3.21,1.35,0.243,78.50%,39.10%,13.10%,93.3,2.7,5.03,4.56,4.82,0.6,11836
Jack Flaherty,STL,4,3,0,9,9,40.1,10.93,3.57,1.34,0.281,68.80%,42.60%,23.10%,94.2,4.91,5.07,4.11,3.42,0.6,17479
Chris Stratton,PIT,2,1,0,27,0,30,11.7,3.9,0.9,0.303,57.50%,46.80%,12.00%,93.4,3.9,3.66,3.19,3.5,0.6,13761
Brett Anderson,MIL,4,4,0,10,10,47,6.13,1.91,1.15,0.293,71.90%,57.70%,14.60%,89.9,4.21,4.7,4.38,4.41,0.6,8223
Jonathan Hernandez,TEX,5,1,0,27,0,31,9,2.32,0.58,0.275,78.30%,45.70%,6.10%,96.7,2.9,2.66,3.19,4.41,0.6,17464
Triston McKenzie,CLE,2,1,0,8,6,33.1,11.34,2.43,1.62,0.217,84.10%,40.00%,17.10%,92.9,3.24,3.71,3.91,3.6,0.6,18000
Danny Duffy,KCR,4,4,0,12,11,56.1,9.11,3.51,1.6,0.285,69.80%,31.90%,13.70%,92.4,4.95,4.58,4.75,4.94,0.6,3542
Walker Buehler,LAD,1,0,0,8,8,36.2,10.31,2.7,1.72,0.198,68.70%,35.50%,17.90%,96.8,3.44,3.4,4.36,3.93,0.6,19374
Blake Snell,TBR,4,2,0,11,11,50,11.34,3.24,1.8,0.286,89.10%,49.20%,29.40%,95.3,3.24,4.04,4.35,3.06,0.6,13543
Tommy Milone,- - -,1,4,0,9,9,39,9.23,1.38,2.08,0.371,57.50%,32.80%,17.30%,86.3,6.69,4.77,4.76,4.33,0.5,7608
Jake Arrieta,PHI,4,4,0,9,9,44.1,6.5,3.25,1.22,0.333,72.10%,51.80%,17.60%,92.8,5.08,5.48,4.66,4.38,0.5,4153
Michael Lorenzen,CIN,3,1,0,18,2,33.2,9.36,4.54,0.8,0.297,70.80%,48.40%,9.40%,97.1,4.28,3.28,3.87,4.55,0.5,14843
Johnny Cueto,SFG,2,3,0,12,12,63.1,7.96,3.69,1.28,0.284,63.30%,40.80%,13.80%,91.4,5.4,4.8,4.64,4.78,0.5,6893
Kris Bubic,KCR,1,6,0,10,10,50,8.82,3.96,1.44,0.312,72.50%,46.60%,17.00%,91.7,4.32,5.34,4.75,4.48,0.5,21455
Dustin May,LAD,3,1,0,12,10,56,7.07,2.57,1.45,0.234,89.10%,54.70%,21.40%,99,2.57,4.21,4.62,3.98,0.5,19716
Cristian Javier,HOU,5,2,0,12,10,54.1,8.94,2.98,1.82,0.194,86.20%,29.00%,15.30%,92.3,3.48,3.02,4.94,4.86,0.5,17606
Luke Weaver,ARI,1,9,0,12,12,52,9.52,3.12,1.73,0.349,63.20%,32.30%,12.80%,94,6.58,4.67,4.67,5.06,0.5,16918
David Peterson,NYM,6,2,0,10,9,49.2,7.25,4.35,0.91,0.233,76.80%,44.40%,10.20%,92.3,3.44,4.36,4.52,5.11,0.5,20302
Frankie Montas,OAK,3,5,0,11,11,53,10.19,3.91,1.7,0.329,68.70%,36.80%,17.50%,96,5.6,4.58,4.74,4.36,0.5,14309
Josh Tomlin,ATL,2,2,0,17,5,39.2,8.17,1.82,1.36,0.304,66.50%,38.50%,12.50%,88.4,4.76,4.55,4.02,4.39,0.4,9388
Jon Gray,COL,2,4,0,8,8,39,5.08,2.54,1.38,0.293,54.40%,36.70%,11.30%,94.1,6.69,5.78,5.06,5.68,0.4,14916
Cal Quantrill,- - -,2,0,1,18,3,32,8.72,2.25,1.13,0.303,82.40%,44.40%,12.10%,95.3,2.25,4.13,3.91,4.27,0.4,19312
Adrian Houser,MIL,1,6,0,12,11,56,7.07,3.38,1.29,0.325,61.20%,58.50%,24.20%,94,5.3,4.74,4.82,4.1,0.4,12718
Martin Perez,BOS,3,5,0,12,12,62,6.68,4.06,1.16,0.266,70.90%,38.50%,12.50%,92.4,4.5,4.7,4.88,5.2,0.4,6902
Scott Barlow,KCR,2,1,2,32,0,30,11.7,2.7,1.2,0.324,74.10%,47.30%,16.00%,95.1,4.2,4.19,3.42,3.3,0.4,14993
Dakota Hudson,STL,3,2,0,8,8,39,7.15,3.46,1.15,0.192,81.80%,56.70%,15.60%,92.9,2.77,3.6,4.5,4.41,0.4,19206
Seth Lugo,NYM,3,4,3,16,7,36.2,11.54,2.45,1.96,0.344,73.50%,48.50%,29.60%,93.6,5.15,4.74,4.45,3.03,0.4,12447
Chris Mazza,BOS,1,2,0,9,6,30,8.7,4.5,0.9,0.356,70.50%,33.30%,8.80%,92.6,4.8,6.05,4.26,5.14,0.3,14151
Chris Paddack,SDP,4,5,0,12,12,59,8.85,1.83,2.14,0.289,75.40%,47.10%,25.00%,94.1,4.73,5.17,5.02,3.77,0.3,20099
Josh Fleming,TBR,5,0,0,7,5,32.1,6.96,1.95,1.39,0.25,89.70%,63.50%,22.70%,90.6,2.78,3.33,4.4,3.7,0.3,20418
Jorge Lopez,- - -,2,2,0,10,6,39,6.46,2.77,1.62,0.315,56.60%,48.80%,17.50%,94.1,6.69,5.59,5.24,4.89,0.3,14527
Matt Andriese,LAA,2,4,2,16,1,32,9.28,3.09,1.41,0.211,61.50%,45.70%,16.70%,92,4.5,3.68,4.29,4.06,0.3,12022
Kolby Allard,TEX,0,6,0,11,8,33.2,8.55,5.35,1.07,0.284,49.60%,32.70%,8.50%,91.7,7.75,4.77,4.71,5.85,0.3,18694
John Means,BAL,2,4,0,10,10,43.2,8.66,1.44,2.47,0.216,82.80%,43.90%,21.80%,93.9,4.53,3.02,5.6,4.45,0.3,16269
Jon Lester,CHC,3,3,0,12,12,61,6.2,2.51,1.62,0.276,71.40%,47.00%,15.10%,89.6,5.16,5.85,5.14,5.11,0.3,4930
Alec Mills,CHC,5,5,0,11,11,62.1,6.64,2.74,1.88,0.233,77.10%,47.30%,21.30%,90,4.48,5.1,5.44,4.61,0.2,13834
Anibal Sanchez,WSN,4,5,0,11,11,53,7.3,3.06,1.87,0.347,67.50%,39.70%,15.70%,89.6,6.62,5.48,5.46,5.3,0.2,3284
Kyle Gibson,TEX,2,6,0,12,12,67.1,7.75,4.01,1.6,0.313,70.50%,51.50%,26.70%,92.6,5.35,5.7,5.39,4.36,0.1,10123
Trevor Richards,TBR,0,0,0,9,4,32,7.59,3.09,1.69,0.358,66.50%,32.10%,12.80%,90.7,5.91,4.8,4.97,5.37,0.1,19309
Phillips Valdez,BOS,1,1,0,24,0,30.1,8.9,4.75,0.89,0.353,75.30%,46.60%,12.00%,,3.26,4.27,4.38,4.68,0.1,15605
Michael Wacha,NYM,1,4,0,8,7,34,9.79,1.85,2.38,0.366,68.40%,35.50%,20.50%,93.8,6.62,4.58,5.25,4.3,0,14078
Taylor Clarke,ARI,3,0,0,12,5,43.1,8.31,4.36,1.66,0.237,73.70%,42.60%,17.40%,94.3,4.36,4.77,5.2,4.85,0,17611
Chad Kuhl,PIT,2,3,0,11,9,46.1,8.55,5.44,1.55,0.235,72.50%,42.90%,19.00%,93.9,4.27,6.61,5.48,4.98,0,14975
Matthew Boyd,DET,3,7,0,12,12,60.1,8.95,3.28,2.24,0.308,65.80%,37.20%,19.70%,91.9,6.71,5.27,5.78,4.97,0,15440
Thomas Eshelman,BAL,3,1,0,12,4,34.2,4.15,2.34,1.82,0.245,78.90%,35.90%,14.30%,86.1,3.89,6.17,5.76,5.86,0,18361
Daniel Ponce de Leon,STL,1,3,0,9,8,32.2,12.4,5.51,2.2,0.221,79.90%,28.00%,19.50%,93.4,4.96,4.87,5.64,4.88,0,16110
Gio Gonzalez,CHW,1,2,0,12,4,31.2,9.66,5.4,1.71,0.37,79.80%,42.30%,20.70%,90.2,4.83,5.41,5.5,4.8,-0.1,7448
Asher Wojciechowski,BAL,1,3,0,10,7,37,7.54,3.65,2.68,0.309,70.20%,30.30%,20.00%,91,6.81,5.52,6.68,5.68,-0.1,10836
Ryan Weber,BOS,1,3,0,17,5,43,5.65,2.93,1.67,0.271,76.30%,52.50%,19.00%,,4.4,5.38,5.54,5.01,-0.1,10160
Anthony DeSclafani,CIN,1,2,0,9,7,33.2,6.68,4.28,1.87,0.318,65.70%,38.90%,17.90%,95.1,7.22,6.49,6.1,5.63,-0.1,13050
Tarik Skubal,DET,1,4,0,8,7,32,10.41,3.09,2.53,0.253,70.40%,27.70%,20.00%,94.5,5.63,4.49,5.75,4.81,-0.1,22267
Tyler Alexander,DET,2,3,0,14,2,36.1,8.42,2.23,1.98,0.32,88.20%,44.80%,20.50%,90.8,3.96,4.87,5.26,4.46,-0.1,17735
Kyle Wright,ATL,2,4,0,8,8,38,7.11,5.68,1.66,0.262,73.20%,44.60%,19.40%,95.1,5.21,6.78,5.9,5.33,-0.1,19665
Chase Anderson,TOR,1,2,0,10,7,33.2,10.16,2.67,2.94,0.362,66.50%,36.50%,28.90%,92.4,7.22,6.45,6.16,4.09,-0.1,6895
Alex Young,ARI,2,4,0,15,7,46.1,7.58,2.72,2.14,0.288,71.10%,36.90%,17.70%,91.3,5.44,6.37,5.57,5.06,-0.2,18333
Patrick Sandoval,LAA,1,5,0,9,6,36.2,8.1,2.95,2.45,0.26,65.70%,55.30%,32.30%,92.8,5.65,5.34,5.92,4,-0.2,19447
Jordan Lyles,TEX,1,6,0,12,9,57.2,5.62,3.59,1.87,0.285,57.20%,39.90%,15.00%,92.4,7.02,5.34,5.95,5.92,-0.2,7593
Ross Stripling,- - -,3,3,1,12,9,49.1,7.3,3.28,2.37,0.291,66.90%,39.90%,22.80%,91.7,5.84,6.49,6.15,4.95,-0.2,13273
Austin Voth,WSN,2,5,0,11,11,49.2,7.97,3.26,2.54,0.297,72.40%,28.90%,17.90%,92.2,6.34,5.52,6.41,5.78,-0.2,15047
Derek Holland,PIT,1,3,0,12,5,40.2,9.96,3.32,2.66,0.288,62.50%,37.40%,26.10%,92.5,6.86,6.49,6.14,4.49,-0.3,4141
Erick Fedde,WSN,2,4,0,11,8,50.1,5.01,3.93,1.79,0.233,81.00%,54.20%,23.30%,,4.29,5.41,6.15,5.22,-0.3,17425
Justin Dunn,SEA,4,1,0,10,10,45.2,7.49,6.11,1.97,0.179,82.00%,32.30%,16.70%,91.3,4.34,6.09,6.54,6.23,-0.3,19268
Dylan Cease,CHW,5,4,0,12,12,58.1,6.79,5.25,1.85,0.238,81.70%,39.80%,18.20%,97.6,4.01,6.66,6.36,5.87,-0.3,18525
Trevor Williams,PIT,2,8,0,11,11,55.1,7.97,3.42,2.44,0.313,70.00%,44.60%,24.20%,91.8,6.18,5.07,6.3,4.94,-0.4,16977
Robbie Ray,- - -,2,5,0,12,11,51.2,11.85,7.84,2.26,0.323,73.00%,24.30%,18.60%,93.7,6.62,6.49,6.5,5.84,-0.4,11486
Brandon Bielak,HOU,3,3,0,12,6,32,7.31,4.78,2.53,0.319,70.50%,36.30%,21.40%,93.3,6.75,7.13,7,5.88,-0.5,19866
Tanner Roark,TOR,2,3,0,11,11,47.2,7.74,4.34,2.64,0.329,70.30%,35.90%,20.30%,90.8,6.8,6.53,6.86,5.84,-0.5,8753
Madison Bumgarner,ARI,1,4,0,9,9,41.2,6.48,2.81,2.81,0.266,73.20%,31.90%,22.00%,88.3,6.48,7.79,7.18,5.85,-0.5,5524
Ryan Castellani,COL,1,4,0,10,9,43.1,5.19,5.4,2.49,0.207,74.20%,37.60%,21.10%,92.4,5.82,7.64,7.78,6.72,-0.7,16377
Steven Matz,NYM,0,5,0,9,6,30.2,10.57,2.93,4.11,0.341,58.60%,32.60%,37.80%,,9.68,6.87,7.76,4.15,-0.7,13361
Julio Teheran,LAA,0,4,0,10,9,31.1,5.74,4.6,3.45,0.273,54.70%,35.50%,27.30%,89.2,10.05,8.7,8.62,6.35,-0.8,6797
