"","Rd","#","Phase","POS","Drafted From","Year","Tm","Name"
"73",2,73,"JR","3B","Mariner High School (Cape Coral,FL)",2011,"Los Angeles Dodgers","Alex Santana"
"74",2,74,"JR","P","Science Hill High School (Johnson City, TN)",2011,"Toronto Blue Jays","Daniel Norris"
"75",2,75,"JR","CF","Palmetto High School (Palmetto, FL)",2011,"Tampa Bay Rays","Granden Goetzman"
"76",2,76,"JR","C","University of Arkansas",2011,"Detroit Tigers","James McCann"
"77",2,77,"JR","RF","East Brunswick (East Brunswick,NJ)",2011,"Colorado Rockies","Carl Thomore"
"78",2,78,"JR","P","Crosby High School (Crosby, TX)",2011,"Toronto Blue Jays","Jeremy Gabryszwski"
"79",2,79,"JR","CF","New Trier (Winnetka,IL)",2011,"St. Louis Cardinals","Charlie Tilson"
"80",2,80,"JR","P","University of California",2011,"Chicago White Sox","Erik Johnson"
"81",2,81,"JR","P","Grand Street High School (Brooklyn, NY)",2011,"Boston Red Sox","Williams Jerez"
"82",2,82,"JR","MLB","Junipero Serra Catholic High School (San Juan Capistrano, CA)",2011,"San Diego Padres","Austin Hedges"
"83",2,83,"JR","P","Clemson University",2011,"Texas Rangers","Will Lamb"
"84",2,84,"JR","CF","-",2011,"Cincinnati Reds","Gabriel Rosa"
"85",2,85,"JR","SS","University of Connecticut",2011,"Atlanta Braves","Nick Ahmed"
"86",2,86,"JR","C","Oregon State University",2011,"San Francisco Giants","Andrew Susac"
"87",2,87,"JR","P","University of Oregon",2011,"Minnesota Twins","Madison Boer"
"88",2,88,"JR","P","University of Texas",2011,"New York Yankees","Sam Stafford"
"89",2,89,"JR","P","University of Hawaii",2011,"Tampa Bay Rays","Lenny Linsky"
"90",2,90,"JR","3B","University of Miami",2011,"Philadelphia Phillies","Harold Martinez"
"91",3,91,"JR","1B","Indiana University",2011,"Pittsburgh Pirates","Alex Dickerson"
"92",3,92,"JR","1B","Mountain Pointe High School (Phoenix, AZ)",2011,"Seattle Mariners","Kevin Cron"
"93",3,93,"JR","CF","Peters Township High School (McMurray, PA)",2011,"Arizona Diamondbacks","Justin Bianco"
"94",3,94,"JR","P","East Carolina University",2011,"Baltimore Orioles","Mike Wright"
"95",3,95,"JR","P","The Woodlands High School (The Woodlands, TX)",2011,"Kansas City Royals","Bryan Brickhouse"
"96",3,96,"JR","LHP","Texas Christian University",2011,"Washington Nationals","Matt Purke"
"97",3,97,"JR","P","Merced College",2011,"Cleveland Indians","Jake Sisco"
"98",3,98,"JR","CF","University of Miami",2011,"Chicago Cubs","Ezekiel DeVoss"
"99",3,99,"JR","P","Vanderbilt University",2011,"Houston Astros","Jack Armstrong"
"100",3,100,"JR","P","Long Beach State University",2011,"Milwaukee Brewers","Drew Gagnon"
"101",3,101,"JR","P","Baylor University",2011,"New York Mets","Logan Verrett"
"102",3,102,"JR","SS","Sumrall (Sumrall,MS)",2011,"Miami Marlins","Conner Barron"
"103",3,103,"JR","C","North Carolina State University",2011,"Los Angeles Dodgers","Pratt Maynard"
"104",3,104,"JR","P","University of Florida",2011,"Los Angeles Angels","Nick Maronde"
"105",3,105,"JR","3B","University of Southern Mississippi",2011,"Oakland Athletics","B.A. Vollmuth"
"106",3,106,"JR","1B","Vanderbilt University",2011,"Detroit Tigers","Aaron Westlake"
"107",3,107,"JR","C","Bethune-Cookman University",2011,"Colorado Rockies","Peter O'Brien"
"108",3,108,"JR","P","Texas A&M University",2011,"Toronto Blue Jays","John Stilson"
"109",3,109,"JR","CF","Clear Creek (League City,TX)",2011,"St. Louis Cardinals","C.J. McElroy"
"110",3,110,"JR","P","Johnson County Community College",2011,"Chicago White Sox","Jeff Soptic"
"111",3,111,"JR","C","Columbus High School (Columbus, GA)",2011,"Boston Red Sox","Jordan Weems"
"112",3,112,"JR","P","University of California-Riverside",2011,"San Diego Padres","Matt Andriese"
"113",3,113,"JR","P","Pleasant Valley High School (Chico, CA)",2011,"Texas Rangers","Kyle Castro"
"114",3,114,"JR","P","Rice University",2011,"Cincinnati Reds","Tony Cingrani"
"115",3,115,"JR","3B","Texas State University",2011,"Atlanta Braves","Kyle Kubitza"
"116",3,116,"JR","1B","University of Southern California",2011,"San Francisco Giants","Ricky Oropesa"
"117",3,117,"JR","P","Vanderbilt University",2011,"Minnesota Twins","Corey Williams"
"118",3,118,"JR","P","Winnisquam Regional (Tilton, NH)",2011,"New York Yankees","Jordan Cote"
"119",3,119,"JR","SS","Warsaw High School (Warsaw, MO)",2011,"Tampa Bay Rays","Johnny Eierman"
"120",3,120,"JR","P","University of Alabama",2011,"Philadelphia Phillies","Adam Morgan"
"121",3,121,"JR","P","Mount Olive College",2011,"Seattle Mariners","Carter Capps"
"122",4,122,"JR","RHP","Canton High School (Canton, TX)",2011,"Pittsburgh Pirates","Colten Brewer"
"123",4,123,"JR","C","University of Virginia",2011,"Seattle Mariners","John Hicks"
"124",4,124,"JR","P","Kansas State University",2011,"Arizona Diamondbacks","Evan Marshall"
"125",4,125,"JR","P","University of Arizona",2011,"Baltimore Orioles","Kyle Simon"
"126",4,126,"JR","P","Santaluces High School (Lantana, FL)",2011,"Kansas City Royals","Kyle Smith"
"127",4,127,"JR","P","Santa Barbara City College",2011,"Washington Nationals","Kylin Turnbull"
"128",4,128,"JR","C","James Madison University",2011,"Cleveland Indians","Mark Lowery"
"129",4,129,"JR","P","University of Louisville",2011,"Chicago Cubs","Tony Zych"
"130",4,130,"JR","P","Santa Fe Community College",2011,"Houston Astros","Christopher Lee"
"131",4,131,"JR","LHP","Cal State Fullerton",2011,"Milwaukee Brewers","Nick Ramirez"
"132",4,132,"JR","RHP","Cal State Fullerton",2011,"New York Mets","Tyler Pill"
"133",4,133,"JR","2B","Wayne County High School (Jesup, GA)",2011,"Miami Marlins","Tyler Palmer"
"134",4,134,"JR","P","Oklahoma City University",2011,"Los Angeles Dodgers","Ryan O'Sullivan"
"135",4,135,"JR","P","Seminole State College",2011,"Los Angeles Angels","Michael Clevinger"
"136",4,136,"JR","CF","Cal Poly",2011,"Oakland Athletics","Bobby Crocker"
"137",4,137,"JR","3B","Kansas State University",2011,"Detroit Tigers","Jason King"
"138",4,138,"JR","LF","Westbury Christian School (Houston, TX)",2011,"Colorado Rockies","Dillon Thomas"
"139",4,139,"JR","P","Delta Secondary School (Ladner,BC)",2011,"Toronto Blue Jays","Thomas Robson"
"140",4,140,"JR","SS","Westchester High School (Los Angeles, CA)",2011,"St. Louis Cardinals","Kenneth Peoples-Walls"
"141",4,141,"JR","P","Kent State University",2011,"Chicago White Sox","Kyle McMillen"
"142",4,142,"JR","P","Cal State Fullerton",2011,"Boston Red Sox","Noe Ramirez"
"143",4,143,"JR","P","Green River Community College",2011,"San Diego Padres","Cody Hebner"
"144",4,144,"JR","CF","Centennial High School (Compton, CA)",2011,"Texas Rangers","Desmond Henry"
"145",4,145,"JR","P","Villanova University",2011,"Cincinnati Reds","Kyle McMyne"
"146",4,146,"JR","P","Santa Clara University",2011,"Atlanta Braves","J.R. Graham"
"147",4,147,"JR","P","University of Arizona",2011,"San Francisco Giants","Bryce Bandilla"
"148",4,148,"JR","P","University of California-Irvine",2011,"Minnesota Twins","Matt Summers"
"149",4,149,"JR","3B","New Rochelle (New Rochelle,NY)",2011,"New York Yankees","Matthew Duran"
"150",4,150,"JR","3B","Arizona State University",2011,"Tampa Bay Rays","Riccio Torrez"
"151",4,151,"JR","3B","University of Nebraska",2011,"Philadelphia Phillies","Cody Asche"
"152",5,152,"JR","RHP","William S. Hart High School (Newhall, CA)",2011,"Pittsburgh Pirates","Tyler Glasnow"
"153",5,153,"JR","C","Hagerty (Oviedo, FL)",2011,"Seattle Mariners","Tyler Marlette"
"154",5,154,"JR","C","Colegio Vocacional (San Juan, PR)",2011,"Arizona Diamondbacks","Michael Perez"
"155",5,155,"JR","P","Middle Georgia College",2011,"Baltimore Orioles","Matt Taylor"
"156",5,156,"JR","SS","St. Thomas Catholic (Houston, TX)",2011,"Kansas City Royals","Patrick Leonard"
"157",5,157,"JR","3B","Georgia Institute of Technology",2011,"Washington Nationals","Matt Skole"
"158",5,158,"JR","P","University of Virginia",2011,"Cleveland Indians","William Roberts"
"159",5,159,"JR","RHP","Notre Dame Preparatory School (Scottsdale, AZ)",2011,"Chicago Cubs","Tayler Scott"
"160",5,160,"JR","P","Stony Brook University",2011,"Houston Astros","Nick Tropeano"
"161",5,161,"JR","CF","Leander High School (Leander,TX)",2011,"Milwaukee Brewers","Michael Reed"
"162",5,162,"JR","P","University of Massachusetts-Lowell",2011,"New York Mets","Jack Leathersich"
"163",5,163,"JR","P","Broken Arrow (Broken Arrow,OK)",2011,"Miami Marlins","Patrick Hope"
"164",5,164,"JR","P","University of Oregon",2011,"Los Angeles Dodgers","Scott McGough"
"165",5,165,"JR","LF","Northeast Texas Community College",2011,"Los Angeles Angels","Andrew Ray"
"166",5,166,"JR","C","University of Central Florida",2011,"Oakland Athletics","Beau Taylor"
"167",5,167,"JR","SS","University of Texas",2011,"Detroit Tigers","Brandon Loy"
"168",5,168,"JR","SS","Texas Christian University",2011,"Colorado Rockies","Taylor Featherston"
"169",5,169,"JR","P","Buckingham Browne & Nichols (Cambridge,MA)",2011,"Toronto Blue Jays","Andrew Chin"
"170",5,170,"JR","P","Oregon State University",2011,"St. Louis Cardinals","Sam Gaviglio"
"171",5,171,"JR","P","Stanford University",2011,"Chicago White Sox","Scott Snodgress"
"172",5,172,"JR","SS","Overton (Nashville, TN)",2011,"Boston Red Sox","Mookie Betts"
"173",5,173,"JR","P","Georgia Institute of Technology",2011,"San Diego Padres","Mark Pope"
"174",5,174,"JR","RHP","Wheeler High School (Wheeler, MS)",2011,"Texas Rangers","Brandon Woodruff"
"175",5,175,"JR","2B","University of Louisville",2011,"Cincinnati Reds","Ryan Wright"
"176",5,176,"JR","C","Blinn College",2011,"Atlanta Braves","Nick DeSantiago"
"177",5,177,"JR","P","Oklahoma State University",2011,"San Francisco Giants","Chris Marlowe"
"178",5,178,"JR","SS","Wichita State University",2011,"Minnesota Twins","Tyler Grimes"
"179",5,179,"JR","C","Grandview High School (Aurora, CO)",2011,"New York Yankees","Greg Bird"
"180",5,180,"JR","3B","Elk Grove High School (Elk Grove, CA)",2011,"Tampa Bay Rays","J.D. Davis"
"181",5,181,"JR","SS","St. Mary's High School (Stockton, CA)",2011,"Philadelphia Phillies","Mitch Walding"
"182",6,182,"JR","3B","Auburn University",2011,"Pittsburgh Pirates","Daniel Gamache"
"183",6,183,"JR","CF","Rancho Cucamonga (Rancho Cucamonga, CA)",2011,"Seattle Mariners","James Zamarripa"
"184",6,184,"JR","P","University of South Carolina",2011,"Arizona Diamondbacks","Matt Price"
"185",6,185,"JR","3B","Farragut High School (Knoxville, TN)",2011,"Baltimore Orioles","Nicky Delmonico"
"186",6,186,"JR","P","Caribbean Junior College",2011,"Kansas City Royals","Cesar Ogando"
"187",6,187,"JR","P","Vanderbilt University",2011,"Washington Nationals","Taylor Hill"
"188",6,188,"JR","LF","Stephen F. Austin University",2011,"Cleveland Indians","Bryson Myles"
"189",6,189,"JR","C","Puerto Rico Baseball Academy (Gurabo, Puerto Rico)",2011,"Chicago Cubs","Neftali Rosario"
"190",6,190,"JR","LF","San Diego State University",2011,"Houston Astros","Brandon Meredith"
"191",6,191,"JR","P","Newbury Park High School (Newbury Park, CA)",2011,"Milwaukee Brewers","Danny Keller"
"192",6,192,"JR","CF","Northern High School (Dillsburg,PA)",2011,"New York Mets","Joe Tuschak"
"193",6,193,"JR","P","Wichita State University",2011,"Miami Marlins","Charlie Lowell"
"194",6,194,"JR","P","Golden Valley High School (Santa Clarita, CA)",2011,"Los Angeles Dodgers","Scott Barlow"
"195",6,195,"JR","P","University of Southern California",2011,"Los Angeles Angels","Austin Wood"
"196",6,196,"JR","CF","Feather River College",2011,"Oakland Athletics","Dayton Alexander"
"197",6,197,"JR","OF","Howard College",2011,"Detroit Tigers","Tyler Collins"
"198",6,198,"JR","P","University of San Diego",2011,"Colorado Rockies","Chris Jensen"
"199",6,199,"JR","P","University of Florida",2011,"Toronto Blue Jays","Anthony DeSclafani"
"200",6,200,"JR","C","Campbell Hall (North Hollywood,CA)",2011,"St. Louis Cardinals","Adam Ehrlich"
"201",6,201,"JR","SS","University of California",2011,"Chicago White Sox","Marcus Semien"
"202",6,202,"JR","P","San Jacinto College",2011,"Boston Red Sox","Miguel Pena"
"203",6,203,"JR","RF","Valparaiso University",2011,"San Diego Padres","Kyle Gaedele"
"204",6,204,"JR","OF","Cedar Crest High School (Lebanon, PA)",2011,"Texas Rangers","Derek Fisher"
"205",6,205,"JR","3B","St. Petersburg College",2011,"Cincinnati Reds","Sean Buckley"
"206",6,206,"JR","P","Vanderbilt University",2011,"Atlanta Braves","Mark Lamm"
"207",6,207,"JR","P","Oregon State University",2011,"San Francisco Giants","Josh Osich"
"208",6,208,"JR","RHP","Monsignor Pace High School (Miami, FL)",2011,"Minnesota Twins","Dereck Rodriguez"
"209",6,209,"JR","CF","Kecoughtan High School (Hampton, VA)",2011,"New York Yankees","Jake Cave"
"210",6,210,"JR","P","Cal State Fullerton",2011,"Tampa Bay Rays","Christopher Floethe"
"211",6,211,"JR","C","East Carolina University",2011,"Philadelphia Phillies","Zachary Wright"
"212",7,212,"JR","P","Buford (Buford,GA)",2011,"Pittsburgh Pirates","Jake Burnette"
"213",7,213,"JR","3B","University of Virginia",2011,"Seattle Mariners","Steven Proscia"
"214",7,214,"JR","CF","Sentinel (Missoula, MT)",2011,"Arizona Diamondbacks","Ben Roberts"
"215",7,215,"JR","P","Central Michigan University",2011,"Baltimore Orioles","Trent Howard"
"216",7,216,"JR","P","University of Oregon",2011,"Kansas City Royals","Kellen Moen"
"217",7,217,"JR","P","University of Notre Dame",2011,"Washington Nationals","Brian Dupra"
"218",7,218,"JR","C","Divine Child High School (Dearborn, MI)",2011,"Cleveland Indians","Eric Haase"
"219",7,219,"JR","1B","Oaks Christian (Westlake Village, CA)",2011,"Chicago Cubs","Trevor Gretzky"
"220",7,220,"JR","CF","King High School (Tampa, FL)",2011,"Houston Astros","Javaris Reynolds"
"221",7,221,"JR","P","University of Mississippi",2011,"Milwaukee Brewers","David Goforth"
"222",7,222,"JR","1B","University of Arizona",2011,"New York Mets","Cole Frenzel"
"223",7,223,"JR","1B","College of the Sequoias",2011,"Miami Marlins","Ryan Rieger"
"224",7,224,"JR","3B","Coastal Carolina University",2011,"Los Angeles Dodgers","Scott Woodward"
"225",7,225,"JR","C","Grayson County College",2011,"Los Angeles Angels","Abel Baker"
"226",7,226,"JR","P","South Dakota State University",2011,"Oakland Athletics","Blake Treinen"
"227",7,227,"JR","P","Wichita State University",2011,"Detroit Tigers","Brian Flynn"
"228",7,228,"JR","1B","North Carolina State University",2011,"Colorado Rockies","Harold Riggins"
"229",7,229,"JR","SS","Edison High School (Huntington Beach, CA)",2011,"Toronto Blue Jays","Christian Lopes"
"230",7,230,"JR","CF","Kansas State University",2011,"St. Louis Cardinals","Nick Martini"
"231",7,231,"JR","C","University of Pittsburgh",2011,"Chicago White Sox","Kevan Smith"
"232",7,232,"JR","P","Free State (Lawrence,KS)",2011,"Boston Red Sox","Cody Kukuk"
"233",7,233,"JR","P","Bryan High School (Bryan, OH)",2011,"San Diego Padres","Matt Wisler"
"234",7,234,"JR","C","Winder-Barrow (Winder,GA)",2011,"Texas Rangers","Max Pentecost"
"235",7,235,"JR","P","Kansas State University",2011,"Cincinnati Reds","James Allen"
"236",7,236,"JR","P","Gonzaga University",2011,"Atlanta Braves","Cody Martin"
"237",7,237,"JR","RHP","University of Pittsburgh",2011,"San Francisco Giants","Ray Black"
"238",7,238,"JR","P","University of Tennessee",2011,"Minnesota Twins","Steven Gruver"
"239",7,239,"JR","1B","Edmonds-Woodway (Edmonds,WA)",2011,"New York Yankees","Austin Jones"
"240",7,240,"JR","LHP","Gonzaga University",2011,"Tampa Bay Rays","Ryan Carpenter"
"241",7,241,"JR","P","Yavapai College",2011,"Philadelphia Phillies","Ken Giles"
"242",8,242,"JR","P","Clayton High School (Clayton, NC)",2011,"Pittsburgh Pirates","Jason Creasy"
"243",8,243,"JR","P","Texas State University",2011,"Seattle Mariners","Carson Smith"
"244",8,244,"JR","P","Fresno Pacific University",2011,"Arizona Diamondbacks","Jesse Darrah"
"245",8,245,"JR","CF","Arizona State University",2011,"Baltimore Orioles","Johnny Ruettiger"
"246",8,246,"JR","P","South County (Lorton,VA)",2011,"Kansas City Royals","Evan Beal"
"247",8,247,"JR","P","University of North Carolina",2011,"Washington Nationals","Gregory Holt"
"248",8,248,"JR","LHP","Gilbert High School (Gilbert, AZ)",2011,"Cleveland Indians","Stephen Tarpley"
"249",8,249,"JR","CF","University of Alabama",2011,"Chicago Cubs","Taylor Dugas"
"250",8,250,"JR","P","Forsyth Country Day  (Lewisville,NC)",2011,"Houston Astros","Brandon Culbreth"
"251",8,251,"JR","C","Brookswood Secondary (Langley,BC)",2011,"Milwaukee Brewers","Dustin Houle"
"252",8,252,"JR","SS","California State University, Fresno",2011,"New York Mets","Daniel Muno"
"253",8,253,"JR","P","Seminole State College",2011,"Miami Marlins","Daniel Oliver"
"254",8,254,"JR","P","University of Utah",2011,"Los Angeles Dodgers","Rick Anton"
"255",8,255,"JR","P","University of Southern California",2011,"Los Angeles Angels","Logan Odom"
"256",8,256,"JR","P","Cal State Fullerton",2011,"Oakland Athletics","Colin O'Connell"
"257",8,257,"JR","RF","Dallas Baptist University",2011,"Detroit Tigers","Jason Krizan"
"258",8,258,"JR","P","San Jose State University",2011,"Colorado Rockies","Roberto Padilla"
"259",8,259,"JR","P","Warren East (Bowling Green,KY)",2011,"Toronto Blue Jays","Mark Biggs"
"260",8,260,"JR","P","University of Miami",2011,"St. Louis Cardinals","Danny Miranda"
"261",8,261,"JR","P","Angelina College",2011,"Chicago White Sox","Ian Gardeck"
"262",8,262,"JR","CF","Pascagoula (Pascagoula,MS)",2011,"Boston Red Sox","Senquez Golson"
"263",8,263,"JR","P","University of South Florida",2011,"San Diego Padres","Kevin Quackenbush"
"264",8,264,"JR","P","Dartmouth College",2011,"Texas Rangers","Kyle Hendricks"
"265",8,265,"JR","CF","St. Petersburg College",2011,"Cincinnati Reds","Jon Matthews"
"266",8,266,"JR","2B","Coastal Carolina University",2011,"Atlanta Braves","Tommy La Stella"
"267",8,267,"JR","SS","-",2011,"San Francisco Giants","Jean Delgado"
"268",8,268,"JR","LHP","Loyola Marymount University",2011,"Minnesota Twins","Jason Wheeler"
"269",8,269,"JR","P","Western Kentucky University",2011,"New York Yankees","Philip Wetherell"
"270",8,270,"JR","1B","Glendora High School (Glendora, CA)",2011,"Tampa Bay Rays","John Alexander"
"271",8,271,"JR","P","University of Mississippi",2011,"Philadelphia Phillies","Austin Wright"
"272",9,272,"JR","RHP","Slocomb High School (Slocomb, AL)",2011,"Pittsburgh Pirates","Clay Holmes"
"273",9,273,"JR","SS","-",2011,"Seattle Mariners","Cavan Cohoes"
"274",9,274,"JR","SS","Connellsville (Connellsville,PA)",2011,"Arizona Diamondbacks","John Leonard"
"275",9,275,"JR","P","Mississippi State University",2011,"Baltimore Orioles","Devin Jones"
"276",9,276,"JR","P","Cal State San Bernardino",2011,"Kansas City Royals","Aaron Brooks"
"277",9,277,"JR","P","University of California",2011,"Washington Nationals","Dixon Anderson"
"278",9,278,"JR","3B","St. Cloud State University",2011,"Cleveland Indians","Jordan Smith"
"279",9,279,"JR","RF","Waterloo (Waterloo,IL)",2011,"Chicago Cubs","Garrett Schlecht"
"280",9,280,"JR","P","Creighton University",2011,"Houston Astros","Jonas Dufek"
"281",9,281,"JR","CF","LaGrange (La Grange, GA)",2011,"Milwaukee Brewers","Malcolm Dowell"
"282",9,282,"JR","P","University of Florida",2011,"New York Mets","Alexander Panteliodis"
"283",9,283,"JR","C","Arizona State University",2011,"Miami Marlins","Austin Barnes"
"284",9,284,"JR","C","University of Oklahoma",2011,"Los Angeles Dodgers","Tyler Ogle"
"285",9,285,"JR","P","-",2011,"Los Angeles Angels","Nick Mutz"
"286",9,286,"JR","LHP","Southridge High School (Beaverton, OR)",2011,"Oakland Athletics","Jace Fry"
"287",9,287,"JR","CF","University of Kentucky",2011,"Detroit Tigers","Chad Wright"
"288",9,288,"JR","P","Texas A&M University",2011,"Colorado Rockies","Thomas Stripling"
"289",9,289,"JR","LHP","Columbus High School (Miami, FL)",2011,"Toronto Blue Jays","Andrew Suarez"
"290",9,290,"JR","P","University of Michigan",2011,"St. Louis Cardinals","Tyler Mills"
